context,question,answer
"Art.1.-  El Reglamento Interno de Trabajo establece el conjunto de normas esenciales que regulan la prestación de servicios y el comportamiento laboral de los trabajadores, propiciando, manteniendo y fomentando las buenas relaciones entre éstos y la Empresa a través del correcto ejercicio de los derechos y deberes que las leyes, normas institucionales y el presente reglamento señalan.",¿Cuáles son los derechos de los trabajadores?,El reglamento establece que los trabajadores tienen derechos que buscan garantizar su bienestar y eficiencia en la empresa.
"Art.20.- Los trabajadores que incurran en tardanzas en forma reiterada serán sancionados con las medidas disciplinarias pertinentes. En ningún caso se pagará remuneración por el tiempo dejado de laborar, realizándose el descuento correspondiente.",¿Qué sucede si un trabajador llega tarde?,El reglamento establece sanciones para los trabajadores que lleguen tarde de forma reiterada.
"DE LA PERMANENCIA EN EL PUESTO DE TRABAJO, PERMISOS, LICENCIAS E  INASISTENCIAS",¿Qué hacer si no puedo asistir al trabajo?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"DE LA PERMANENCIA EN EL PUESTO DE TRABAJO, PERMISOS, LICENCIAS E  INASISTENCIAS",¿Cómo solicito un permiso o licencia?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Art.3.- El presente Reglamento no restringe en forma alguna las facultades de dirección, fiscalización, sanción y demás que corresponden a la Empresa como empleadora; ni restringe las obligaciones específicas que correspondan a cada trabajador en razón del cargo o función que desempeña.",¿Qué pasa si incumplo alguna norma del reglamento?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
NORMAS DE CONTROL DE ASISTENCIA,¿Qué pasa si se me olvida marcar la tarjeta de asistencia?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
El trabajo en días de descanso semanal obligatorio y/o feriado debe ser objeto de autorización expresa por parte de la Empresa.,¿Qué beneficios tengo al trabajar durante un feriado?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
Se entiende por sobretiempo el exceso de la jornada obligatoria. Dicho sobretiempo podrá ser abonado como horas extras o compensado con descanso equivalente.,¿Cómo se gestiona el descanso vacacional?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Art.1.-  El Reglamento Interno de Trabajo establece el conjunto de normas esenciales que regulan la prestación de servicios y el comportamiento laboral de los trabajadores, propiciando, manteniendo y fomentando las buenas relaciones entre éstos y la Empresa a través del correcto ejercicio de los derechos y deberes que las leyes, normas institucionales y el presente reglamento señalan.",¿Puedo cambiar mi turno de trabajo?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Art.1.-  El Reglamento Interno de Trabajo establece el conjunto de normas esenciales que regulan la prestación de servicios y el comportamiento laboral de los trabajadores, propiciando, manteniendo y fomentando las buenas relaciones entre éstos y la Empresa a través del correcto ejercicio de los derechos y deberes que las leyes, normas institucionales y el presente reglamento señalan.",¿Qué pasa si me enfermo y no puedo asistir al trabajo?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
